61.852, 58.679, 99.972
59.852, 58.722, 99.972
57.853, 58.765, 99.967
55.853, 58.808, 99.961
53.854, 58.852, 99.961
51.854, 58.897, 99.954
49.855, 58.941, 99.945
47.855, 58.987, 99.925
45.856, 59.033, 98.523
43.857, 59.081, 95.91
41.857, 59.129, 93.224
39.858, 59.121, 90.46
37.859, 59.088, 98.82
35.859, 59.078, 99.619
33.859, 59.074, 99.724
31.859, 59.075, 99.795
29.859, 59.078, 99.881
27.859, 59.083, 99.907
25.859, 59.09, 99.907
23.859, 59.098, 99.926
21.859, 59.107, 97.607
19.859, 59.117, 94.969
17.859, 59.088, 92.256
15.861, 59.02, 89.46
13.866, 58.877, 86.575
11.875, 58.686, 83.59
9.892, 58.435, 80.495
7.92, 58.097, 77.275
5.97, 57.657, 73.915
4.047, 57.108, 70.396
2.169, 56.423, 66.692
0.363, 55.567, 62.771
-1.307, 54.471, 58.59
-2.782, 53.126, 54.091
-3.863, 51.453, 49.191
-4.392, 49.538, 48.241
-4.279, 47.553, 58.507
-3.622, 45.673, 70.428
-2.591, 43.963, 75.245
-1.279, 42.456, 82.239
0.193, 41.104, 84.663
1.799, 39.914, 88.04
3.501, 38.865, 89.204
5.273, 37.939, 90.121
7.101, 37.13, 90.847
8.974, 36.431, 91.424
10.883, 35.838, 91.885
12.821, 35.346, 92.256
14.782, 34.952, 92.556
16.759, 34.653, 92.802
18.747, 34.445, 93.006
20.743, 34.325, 93.181
22.742, 34.291, 93.334
24.741, 34.34, 93.475
26.737, 34.478, 93.475
28.723, 34.708, 93.609
30.699, 35.014, 93.743
32.665, 35.381, 93.793
34.625, 35.776, 95.158
36.595, 36.121, 94.143
38.575, 36.401, 91.829
40.564, 36.6, 89.021
42.561, 36.7, 86.121
44.56, 36.681, 83.121
46.552, 36.517, 80.009
48.519, 36.159, 76.771
50.426, 35.565, 73.391
52.22, 34.691, 69.852
53.83, 33.511, 68.355
55.174, 32.036, 71.28
56.214, 30.331, 76.712
56.962, 28.477, 79.628
57.457, 26.541, 84.979
57.762, 24.565, 89.324
57.925, 22.572, 92.742
57.985, 20.573, 93.858
57.969, 18.573, 91.112
57.91, 16.574, 88.28
57.832, 14.576, 85.355
57.763, 12.577, 82.325
57.738, 10.577, 79.18
57.798, 8.578, 75.905
58.012, 6.591, 72.483
56.967, 5.066, 69.169
55.329, 3.926, 68.462
53.496, 3.137, 71.582
51.549, 2.688, 78.778
49.556, 2.543, 83.521
47.559, 2.623, 87.542
45.575, 2.874, 90.746
43.611, 3.25, 93.228
41.667, 3.719, 95.137
39.741, 4.257, 95.922
37.83, 4.848, 97.227
35.931, 5.473, 98.261
34.04, 6.125, 98.701
32.155, 6.793, 99.461
30.274, 7.472, 99.794
28.394, 8.154, 99.612
26.513, 8.835, 99.344
24.63, 9.51, 99.091
22.744, 10.173, 98.619
20.852, 10.822, 98.397
18.954, 11.455, 98.182
17.049, 12.064, 97.768
15.129, 12.593, 98.432
13.129, 12.581, 98.367
11.129, 12.55, 98.305
9.13, 12.495, 98.191
7.131, 12.42, 98.141
5.134, 12.32, 97.693
3.138, 12.197, 95.058
1.143, 12.047, 92.347
-0.849, 11.873, 89.554
-2.839, 11.674, 86.672
-4.826, 11.45, 83.69
-6.811, 11.201, 80.598
-8.792, 10.93, 77.382
-10.771, 10.639, 74.027
-12.747, 10.33, 70.512
-14.72, 10.004, 66.813
-16.692, 9.666, 62.897
-18.661, 9.318, 58.72
-20.629, 8.964, 54.222
-22.597, 8.606, 49.315
-24.564, 8.246, 43.863
-26.532, 7.888, 37.63
-28.5, 7.533, 30.133
-30.47, 7.184, 20
-31.205, 7.055, 0
-31.205, 7.055, 0
-50.904, 3.597, 0
endData
127
100
200
61.852, 58.679, 20.198, 59.565, 60.523, 58.901, 18.868, 59.122
18.868, 59.122, -24.115, 58.458, -0.629, 28.103, 32.827, 35.415
32.827, 35.415, 66.283, 42.727, 55.87, 17.468, 58.085, 6.168
58.085, 6.168, 50.331, -2.694, 34.932, 6.722, 15.323, 12.594
15.323, 12.594, -3.953, 12.594, -14.699, 9.935, -31.205, 7.055
